column_position,column_name,column_type,null,key,default,extra
243,Last Modified Date - Electric Meters,VARCHAR,YES,,,
244,Electric Distribution Utility,VARCHAR,YES,,,
245,Last Modified Date - Gas Meters,VARCHAR,YES,,,
246,Last Modified Date - Non-Electric Non-Gas Energy Meters,VARCHAR,YES,,,
247,Last Modified Date - Water Meters,VARCHAR,YES,,,
248,Last Modified Date - Property Use,VARCHAR,YES,,,
249,Last Modified Date - Property Use Details,VARCHAR,YES,,,
250,Number of Active Energy Meters - Total,VARCHAR,YES,,,
251,Number of Active Energy Meters - Used to Compute Metrics,VARCHAR,YES,,,
252,Number of Active Energy Meters - Not Used to Compute Metrics,VARCHAR,YES,,,
253,Number of Active IT Meters,VARCHAR,YES,,,
254,Aggregate Meter(s)-Electric – Number of Individual Meters Included,VARCHAR,YES,,,
255,Aggregate Meter(s)-Natural Gas – Number of Individual Meters Included,VARCHAR,YES,,,
256,Aggregate Meter(s)-District Steam – Number of Individual Meters Included,VARCHAR,YES,,,
257,Report Generation Date,VARCHAR,YES,,,
258,Report Submission Date,VARCHAR,YES,,,
259,Borough,VARCHAR,YES,,,
260,Latitude,VARCHAR,YES,,,
261,Longitude,VARCHAR,YES,,,
262,Community Board,VARCHAR,YES,,,
263,Council District,VARCHAR,YES,,,
264,Census Tract (2020),VARCHAR,YES,,,
265,Neighborhood Tabulation Area (NTA) (2020),VARCHAR,YES,,,
